"","col","row","code","name"
"1",7,1,31004,"Janaúba"
"2",8,1,31005,"Salinas"
"3",9,1,31013,"Pedra Azul"
"4",5,2,31001,"Unaí­"
"5",6,2,31003,"Januária"
"6",7,2,31007,"Montes Claros"
"7",8,2,31008,"Grão Mogol"
"8",9,2,31012,"Araçuaí­"
"9",10,2,31014,"Almenara"
"10",5,3,31002,"Paracatu"
"11",6,3,31006,"Pirapora"
"12",7,3,31009,"Bocaiúva"
"13",8,3,31011,"Capelinha"
"14",9,3,31015,"Teófilo Otoni"
"15",10,3,31016,"Nanuque"
"16",5,4,31020,"Patos de Minas"
"17",6,4,31024,"Três Marias"
"18",7,4,31025,"Curvelo"
"19",8,4,31010,"Diamantina"
"20",9,4,31036,"Peçanha"
"21",10,4,31037,"Governador Valadares"
"22",2,5,31017,"Ituiutaba"
"23",3,5,31018,"Uberlândia"
"24",4,5,31019,"Patrocí­nio"
"25",5,5,31026,"Bom Despacho"
"26",6,5,31029,"Pará de Minas"
"27",7,5,31027,"Sete Lagoas"
"28",8,5,31028,"Conceição do Mato Dentro"
"29",9,5,31035,"Guanhães"
"30",10,5,31038,"Mantena"
"31",1,6,31021,"Frutal"
"32",2,6,31022,"Uberaba"
"33",3,6,31023,"Araxá"
"34",4,6,31042,"Piuí­"
"35",5,6,31044,"Formiga"
"36",6,6,31043,"Divinópolis"
"37",7,6,31030,"Belo Horizonte"
"38",8,6,31039,"Ipatinga"
"39",9,6,31040,"Caratinga"
"40",10,6,31041,"Aimorés"
"41",4,7,31047,"Passos"
"42",5,7,31046,"Oliveira"
"43",6,7,31032,"Itaguara"
"44",7,7,31031,"Itabira"
"45",8,7,31033,"Ouro Preto"
"46",9,7,31060,"Ponte Nova"
"47",10,7,31061,"Manhuaçu"
"48",4,8,31048,"São Sebastião do Paraí­so"
"49",5,8,31049,"Alfenas"
"50",6,8,31045,"Campo Belo"
"51",7,8,31034,"Conselheiro Lafaiete"
"52",8,8,31062,"Viçosa"
"53",9,8,31064,"Ubá"
"54",10,8,31063,"Muriaé"
"55",3,9,31051,"Poços de Caldas"
"56",4,9,31053,"Santa Rita do Sapucaí­"
"57",5,9,31050,"Varginha"
"58",6,9,31057,"Lavras"
"59",7,9,31058,"São João Del Rei"
"60",8,9,31059,"Barbacena"
"61",9,9,31066,"Cataguases"
"62",4,10,31052,"Pouso Alegre"
"63",5,10,31056,"Itajubá"
"64",6,10,31054,"São Lourenço"
"65",7,10,31055,"Andrelândia"
"66",8,10,31065,"Juiz de Fora"
